,cycle,species,biomass
488,72,Parabacteroides_goldsteinii,12.7128245
489,72,Thermincola_ferriacetica,1.021032815
490,72,Dechloromonas_aromatica,0.965876766
491,72,Longilinea_sp.,1.147405801
492,72,Hydrogenophaga_aromaticivorans,2.79707379
493,72,Clostridium_fungisolvens,32.57455568
494,72,Geovibrio_thiophilus,23.40213955
495,73,Mariniplasma_anaerobium,1.209792039
496,73,Geobacter_metallireducens_strain_GS-15,0.710796879
497,73,Methanosarcina_acetivorans,1.390350288
498,73,Methanobacterium_formicicum,5.150854891
499,73,Magnetospirillum_magneticum,3.048535332
500,73,Tepidimonas_charontis,2.530364746
501,73,Gudongella_oleilytica,3.435297313
502,73,Desulfomicrobium_baculatum,8.154987775
503,73,Parabacteroides_goldsteinii,12.60583117
504,73,Thermincola_ferriacetica,1.014523567
505,73,Dechloromonas_aromatica,0.975009973
506,73,Longilinea_sp.,1.175028075
507,73,Hydrogenophaga_aromaticivorans,2.732712214
508,73,Clostridium_fungisolvens,32.67275003
509,73,Geovibrio_thiophilus,23.19316571
510,74,Mariniplasma_anaerobium,1.230762169
511,74,Geobacter_metallireducens_strain_GS-15,0.732972822
512,74,Methanosarcina_acetivorans,1.401940693
513,74,Methanobacterium_formicicum,5.224438765
514,74,Magnetospirillum_magneticum,3.007427013
515,74,Tepidimonas_charontis,2.631719974
516,74,Gudongella_oleilytica,3.504582886
517,74,Desulfomicrobium_baculatum,8.155592929
518,74,Parabacteroides_goldsteinii,12.49799191
519,74,Thermincola_ferriacetica,1.008595692
520,74,Dechloromonas_aromatica,0.984311803
521,74,Longilinea_sp.,1.204141471
522,74,Hydrogenophaga_aromaticivorans,2.670608436
523,74,Clostridium_fungisolvens,32.76296709
524,74,Geovibrio_thiophilus,22.98194635
525,75,Mariniplasma_anaerobium,1.252868455
526,75,Geobacter_metallireducens_strain_GS-15,0.756152115
527,75,Methanosarcina_acetivorans,1.413189136
528,75,Methanobacterium_formicicum,5.297614519
529,75,Magnetospirillum_magneticum,2.967466334
530,75,Tepidimonas_charontis,2.737349747
531,75,Gudongella_oleilytica,3.575067784
532,75,Desulfomicrobium_baculatum,8.1547573
533,75,Parabacteroides_goldsteinii,12.3892706
534,75,Thermincola_ferriacetica,1.003227547
535,75,Dechloromonas_aromatica,0.993771649
536,75,Longilinea_sp.,1.234798284
537,75,Hydrogenophaga_aromaticivorans,2.610634991
538,75,Clostridium_fungisolvens,32.84529821
539,75,Geovibrio_thiophilus,22.76853333
540,76,Mariniplasma_anaerobium,1.276141768
541,76,Geobacter_metallireducens_strain_GS-15,0.780362156
542,76,Methanosarcina_acetivorans,1.424081796
543,76,Methanobacterium_formicicum,5.370322916
544,76,Magnetospirillum_magneticum,2.92856288
545,76,Tepidimonas_charontis,2.847374067
546,76,Gudongella_oleilytica,3.646731246
547,76,Desulfomicrobium_baculatum,8.152440825
548,76,Parabacteroides_goldsteinii,12.27964253
549,76,Thermincola_ferriacetica,0.998399513
550,76,Dechloromonas_aromatica,1.003378772
551,76,Longilinea_sp.,1.267052647
552,76,Hydrogenophaga_aromaticivorans,2.552671607
553,76,Clostridium_fungisolvens,32.91984227
554,76,Geovibrio_thiophilus,22.55299501
555,77,Mariniplasma_anaerobium,1.300612092
556,77,Geobacter_metallireducens_strain_GS-15,0.805629208
557,77,Methanosarcina_acetivorans,1.434605537
558,77,Methanobacterium_formicicum,5.442504784
559,77,Magnetospirillum_magneticum,2.890627655
560,77,Tepidimonas_charontis,2.96190927
561,77,Gudongella_oleilytica,3.71954867
562,77,Desulfomicrobium_baculatum,8.148638644
563,77,Parabacteroides_goldsteinii,12.16908076
564,77,Thermincola_ferriacetica,0.994092812
565,77,Dechloromonas_aromatica,1.013121211
566,77,Longilinea_sp.,1.300959294
567,77,Hydrogenophaga_aromaticivorans,2.4966022
568,77,Clostridium_fungisolvens,32.98667227
569,77,Geovibrio_thiophilus,22.33539559
570,78,Mariniplasma_anaerobium,1.326309488
571,78,Geobacter_metallireducens_strain_GS-15,0.831978718
572,78,Methanosarcina_acetivorans,1.444748913
573,78,Methanobacterium_formicicum,5.514104884
574,78,Magnetospirillum_magneticum,2.853575179
575,78,Tepidimonas_charontis,3.08106923
576,78,Gudongella_oleilytica,3.793494108
577,78,Desulfomicrobium_baculatum,8.143330799
578,78,Parabacteroides_goldsteinii,12.05756816
579,78,Thermincola_ferriacetica,0.990288427
580,78,Dechloromonas_aromatica,1.022986489
581,78,Longilinea_sp.,1.33657442
582,78,Hydrogenophaga_aromaticivorans,2.44230173
